id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
587,EV,5218,SYR,ATL,3,345,158,0
588,EV,5233,BTR,ATL,3,345,97,0
589,EV,5362,SHV,ATL,3,345,123,1
590,EV,5501,VLD,ATL,3,345,62,0
591,OH,6264,BDL,CVG,3,345,133,0
592,OH,6549,MFE,MEM,3,345,118,0
593,OO,6407,FAT,SFO,3,345,45,0
594,OO,6647,BZN,DEN,3,345,107,0
595,OO,6925,PHX,LAX,3,345,85,0
596,OO,6964,RDM,PDX,3,345,58,0
597,US,1423,DCA,CLT,3,345,85,0
598,XE,2919,LFT,IAH,3,345,58,0
599,XE,5951,CAK,ORD,3,345,95,0
600,OO,6480,IPL,YUM,3,346,34,0
601,OO,6843,EAU,CWA,3,346,32,0
602,UA,756,SFO,DEN,3,348,158,0
603,OO,3099,OMA,MKE,3,349,81,1
604,9E,3718,ERI,DTW,3,350,65,1
605,B6,107,BUF,JFK,3,350,83,0
606,DL,1248,IAH,ATL,3,350,130,1
607,DL,1985,DAY,ATL,3,350,114,0
608,DL,2387,MKE,ATL,3,350,129,1
609,DL,2405,PHL,DTW,3,350,115,0
610,DL,734,MCI,ATL,3,350,129,0
611,EV,5165,AGS,ATL,3,350,60,0
612,FL,331,PHL,ATL,3,350,145,0
613,MQ,2734,ABI,DFW,3,350,50,0
614,MQ,2796,GRR,DFW,3,350,175,0
615,MQ,3014,FAT,LAX,3,350,65,0
616,MQ,3332,LBB,DFW,3,350,70,0
617,MQ,3632,CLT,MIA,3,350,120,1
618,MQ,3781,LIT,ORD,3,350,105,0
619,MQ,3842,MSP,ORD,3,350,95,1
620,MQ,3892,PHL,ORD,3,350,140,0
621,MQ,4013,LEX,ORD,3,350,95,0
622,OH,6498,ORD,ATL,3,350,128,1
623,OH,6629,GRR,DTW,3,350,61,0
624,9E,4391,MBS,DTW,3,351,59,0
625,HA,218,HNL,KOA,3,352,41,0
626,OO,6921,MOD,SFO,3,352,38,0
627,9E,3935,EWR,DTW,3,355,130,1
628,9E,3955,LBB,MEM,3,355,119,0
629,9E,4200,TYS,CVG,3,355,64,0
630,9E,4274,AMA,MEM,3,355,120,0
631,B6,735,JFK,BQN,3,355,215,0
632,DL,377,BDL,DTW,3,355,130,0
633,HA,202,HNL,ITO,3,355,49,0
634,MQ,2864,SGF,DFW,3,355,90,0
635,OH,6262,OMA,DTW,3,355,137,1
636,OH,6414,AZO,DTW,3,355,58,0
637,OO,7014,RDM,SFO,3,355,101,0
638,9E,3668,TYS,LGA,3,360,131,0
639,9E,3724,ABE,DTW,3,360,115,0
640,9E,3755,SWF,DTW,3,360,120,0
641,9E,3757,BGM,DTW,3,360,103,0
642,9E,3795,SBN,CVG,3,360,60,1
643,9E,3845,AVP,DTW,3,360,105,0
644,9E,3850,FNT,DTW,3,360,48,0
645,9E,3871,BHM,DTW,3,360,125,0
646,9E,3875,GSP,DTW,3,360,115,0
647,9E,3893,FWA,ATL,3,360,115,0
648,9E,3923,IAH,MEM,3,360,95,0
649,9E,3957,ATW,MSP,3,360,76,1
650,9E,3985,DSM,MEM,3,360,100,1
651,9E,4008,BTV,JFK,3,360,100,0
652,9E,4026,ORF,DTW,3,360,125,1
653,9E,4058,LAN,DTW,3,360,50,0
654,9E,4239,ITH,DTW,3,360,97,1
655,9E,4272,ECP,MEM,3,360,90,0
656,9E,4324,DCA,JFK,3,360,82,0
657,AA,1056,TUL,DFW,3,360,70,0
658,AA,1140,SAT,DFW,3,360,65,0
659,AA,1143,TPA,DFW,3,360,170,0
660,AA,1215,DCA,DFW,3,360,210,0
661,AA,1225,COS,DFW,3,360,120,0
662,AA,1406,OMA,DFW,3,360,125,0
663,AA,1584,LAS,DFW,3,360,160,0
664,AA,1596,PDX,DFW,3,360,225,0
665,AA,1602,ELP,DFW,3,360,100,0
666,AA,1615,BDL,DFW,3,360,260,0
667,AA,1631,MSY,MIA,3,360,105,0
668,AA,1670,AUS,ORD,3,360,165,0
669,AA,1755,ABQ,DFW,3,360,105,0
670,AA,1839,OKC,DFW,3,360,60,0
671,AA,1843,BOS,ORD,3,360,175,0
672,AA,1878,SMF,DFW,3,360,205,0
673,AA,1921,EWR,MIA,3,360,185,0
674,AA,1965,STL,DFW,3,360,115,0
675,AA,1994,IAH,MIA,3,360,135,0
676,AA,2037,BNA,MIA,3,360,135,1
677,AA,2060,SEA,ORD,3,360,245,1
678,DL,2344,LAS,CVG,4,10,215,0
679,CO,269,SFO,IAH,4,15,205,1
680,US,1558,PHX,CLT,4,15,222,0
681,AA,2400,LAX,DFW,4,20,165,0
682,AA,2466,SFO,DFW,4,20,195,0
683,AS,108,ANC,SEA,4,30,202,0
684,CO,1094,LAX,IAH,4,30,181,1
685,DL,1768,LAX,MSP,4,30,220,0
686,DL,2722,PHX,DTW,4,30,228,0
687,DL,2606,SFO,MSP,4,35,216,1
688,AA,2538,LAS,ORD,4,40,200,0
689,DL,1006,LAX,MSY,4,48,220,0
690,CO,223,ANC,SEA,4,49,201,1
691,AA,532,LAS,DFW,4,50,145,0
692,DL,1646,PHX,ATL,4,50,212,0
693,DL,2055,SLC,ATL,4,50,210,0
694,DL,2814,SEA,MSP,4,50,189,0
695,AA,2408,LAX,DFW,4,55,170,1
696,AS,132,ANC,PDX,4,55,215,1
697,US,498,DEN,CLT,4,55,179,0
698,B6,98,DEN,JFK,4,59,213,1
699,CO,1496,LAS,IAH,4,60,162,0
700,DL,1450,LAS,MSP,4,60,181,0
701,CO,507,ONT,IAH,4,75,167,0
702,AS,128,FAI,SEA,4,80,206,0
703,DL,2223,ANC,SLC,4,85,270,0
704,AS,112,ANC,SEA,4,90,200,0
705,HA,17,LAS,HNL,4,100,380,1
706,US,122,ANC,PHX,4,113,327,0
707,AS,114,ANC,SEA,4,150,200,0
708,CO,315,BQN,EWR,4,165,246,1
709,B6,766,BQN,MCO,4,240,169,0
710,B6,768,PSE,MCO,4,262,180,1
711,HA,206,HNL,OGG,4,300,36,0
712,OO,4746,BIS,MSP,4,300,85,0
713,OO,6466,IYK,LAX,4,300,53,0
714,US,1011,EWR,CLT,4,300,111,1
715,US,1983,BOS,CLT,4,300,135,0
716,HA,108,HNL,KOA,4,302,41,0
717,9E,3975,GFK,MSP,4,305,68,0
718,HA,102,HNL,ITO,4,305,49,0
719,OH,6338,GSO,ATL,4,315,93,0
720,OO,6505,LMT,SFO,4,315,95,0
721,US,149,SEA,PHX,4,315,166,1
722,US,1640,MCO,CLT,4,315,97,0
723,US,908,TPA,CLT,4,315,96,0
724,HA,106,HNL,OGG,4,317,36,0
725,9E,3854,DLH,MSP,4,320,58,0
726,DL,1276,MSP,ATL,4,320,158,0
727,OO,4651,FAR,MSP,4,320,62,0
728,CO,1585,MFE,IAH,4,325,64,0
729,CO,222,MSY,IAH,4,325,70,0
730,EV,4966,VPS,ATL,4,325,69,0
731,OO,4793,PSC,SLC,4,325,90,0
732,US,1521,BWI,CLT,4,325,83,0
733,XE,2827,MAF,IAH,4,325,85,0
734,OO,4719,LWS,SLC,4,328,87,1
735,9E,3702,RST,MSP,4,330,50,0
736,9E,3886,DSM,ATL,4,330,135,1
737,AA,1711,BOS,MIA,4,330,210,0
738,CO,611,EWR,IAH,4,330,233,0
739,DL,1143,CHS,ATL,4,330,72,0
740,DL,1511,MSN,DTW,4,330,80,0
741,DL,1518,MCO,ATL,4,330,84,0
742,DL,1698,JAX,ATL,4,330,80,0
743,DL,1842,SAT,ATL,4,330,142,0
744,DL,1972,TPA,ATL,4,330,85,1
745,DL,2054,PNS,ATL,4,330,75,0
746,DL,2112,BHM,ATL,4,330,58,0
747,DL,2306,LIT,ATL,4,330,97,0
748,DL,2711,SAV,ATL,4,330,65,0
749,DL,2995,BNA,ATL,4,330,67,1
750,EV,4940,OMA,ATL,4,330,147,0
751,EV,5014,ICT,ATL,4,330,132,0
752,EV,5044,ECP,ATL,4,330,68,0
753,EV,5062,HSV,ATL,4,330,53,0
754,EV,5117,DHN,ATL,4,330,70,0
755,EV,5393,MGM,ATL,4,330,57,0
756,EV,5532,CAE,ATL,4,330,64,1
757,EV,7108,PWM,IAD,4,330,114,0
758,OO,6917,ACV,SMF,4,330,65,0
759,OO,7781,EKO,SLC,4,330,70,0
760,US,1289,BOS,PHL,4,330,84,0
761,US,1420,PHL,CLT,4,330,102,0
762,US,1732,ATL,CLT,4,330,68,0
763,US,347,PDX,PHX,4,330,148,0
764,US,913,RIC,CLT,4,330,72,0
765,XE,2263,BTR,IAH,4,330,72,0
766,XE,3024,HRL,IAH,4,330,70,0
767,YV,2605,MYR,CLT,4,330,62,0
768,HA,103,HNL,LIH,4,331,35,0
769,UA,576,SEA,DEN,4,331,159,0
770,OO,6644,TUS,DEN,4,333,112,0
771,YV,7294,SBN,ORD,4,334,46,0
772,9E,3725,TVC,DTW,4,335,75,0
773,9E,3804,CLE,ATL,4,335,128,0
774,AA,674,ORD,MIA,4,335,185,0
775,B6,728,BQN,JFK,4,335,231,0
776,CO,463,ORD,IAH,4,335,164,0
777,EV,5038,CAK,DTW,4,335,76,0
778,OH,6423,DAY,DTW,4,335,75,0
779,OO,6698,MFR,PDX,4,335,74,0
780,XE,2865,MKE,IAH,4,335,174,0
781,EV,7123,BTV,IAD,4,336,110,1
782,9E,3998,TLH,ATL,4,338,68,0
783,9E,4196,TYS,ATL,4,340,57,1
784,CO,214,DFW,IAH,4,340,59,1
785,DL,2123,BOS,DTW,4,340,144,0
786,DL,2597,RIC,ATL,4,340,109,0
787,DL,2626,FLL,ATL,4,340,118,0
788,DL,684,AUS,ATL,4,340,134,0
789,EV,5583,CHA,ATL,4,340,47,0
790,MQ,4563,CMH,LGA,4,340,100,0
791,XE,2616,LRD,IAH,4,340,66,0
792,XE,3006,BRO,IAH,4,340,70,0
793,XE,3015,CRP,IAH,4,340,59,0
794,XE,5973,LAN,ORD,4,340,71,1
795,9E,3659,ALB,ATL,4,345,183,0
796,9E,3862,SAT,MEM,4,345,119,0
797,9E,3949,PVD,DTW,4,345,135,0
798,9E,4143,FWA,DTW,4,345,59,0
799,AA,1141,JFK,MIA,4,345,190,0
800,AA,1297,DFW,MIA,4,345,160,0
801,AA,2320,DFW,ORD,4,345,140,0
802,CO,1677,PHL,IAH,4,345,219,0
803,CO,1727,BWI,IAH,4,345,208,0
804,CO,240,AUS,IAH,4,345,55,0
805,CO,278,SAT,IAH,4,345,54,1
806,CO,633,LGA,IAH,4,345,235,1
807,DL,1095,OKC,ATL,4,345,127,0
808,DL,1112,PIT,ATL,4,345,131,0
809,DL,1506,LAX,DTW,4,345,270,0
810,DL,2320,PBI,ATL,4,345,113,0
811,DL,2481,ORF,ATL,4,345,120,1
812,DL,2710,DFW,ATL,4,345,132,0
813,DL,2939,DCA,ATL,4,345,120,0
814,EV,5142,AEX,ATL,4,345,119,0
815,EV,5218,SYR,ATL,4,345,158,1
816,EV,5233,BTR,ATL,4,345,97,0
817,EV,5362,SHV,ATL,4,345,123,0
818,EV,5501,VLD,ATL,4,345,62,0
819,OH,6264,BDL,CVG,4,345,133,0
820,OH,6549,MFE,MEM,4,345,118,0
821,OO,6407,FAT,SFO,4,345,45,0
822,OO,6523,PHX,LAX,4,345,85,0
823,OO,6647,BZN,DEN,4,345,107,0
824,OO,6964,RDM,PDX,4,345,58,0
825,US,1423,DCA,CLT,4,345,85,0
826,XE,2919,LFT,IAH,4,345,58,0
827,XE,5951,CAK,ORD,4,345,95,0
828,OO,6480,IPL,YUM,4,346,34,0
829,OO,6843,EAU,CWA,4,346,32,0
830,UA,756,SFO,DEN,4,348,158,0
831,OO,3099,OMA,MKE,4,349,81,0
832,9E,3718,ERI,DTW,4,350,65,0
833,B6,107,BUF,JFK,4,350,83,0
834,DL,1248,IAH,ATL,4,350,130,0
835,DL,1985,DAY,ATL,4,350,114,0
836,DL,2387,MKE,ATL,4,350,129,0
837,DL,2405,PHL,DTW,4,350,115,0
838,DL,734,MCI,ATL,4,350,129,0
839,EV,5165,AGS,ATL,4,350,60,0
840,FL,331,PHL,ATL,4,350,145,0
841,MQ,2734,ABI,DFW,4,350,50,0
842,MQ,2796,GRR,DFW,4,350,175,0
843,MQ,3014,FAT,LAX,4,350,65,0
844,MQ,3332,LBB,DFW,4,350,70,0
845,MQ,3632,CLT,MIA,4,350,120,1
846,MQ,3781,LIT,ORD,4,350,105,0
847,MQ,3842,MSP,ORD,4,350,95,0
848,MQ,3892,PHL,ORD,4,350,140,0
849,MQ,4013,LEX,ORD,4,350,95,1
850,OH,6498,ORD,ATL,4,350,128,0
851,OH,6629,GRR,DTW,4,350,61,1
852,9E,4391,MBS,DTW,4,351,59,1
853,HA,218,HNL,KOA,4,352,41,0
854,OO,6642,MOD,SFO,4,352,38,0
855,9E,3836,OMA,DTW,4,355,145,1
856,9E,3935,EWR,DTW,4,355,130,1
857,9E,3955,LBB,MEM,4,355,119,0
858,9E,4200,TYS,CVG,4,355,64,0
859,9E,4274,AMA,MEM,4,355,120,0
860,B6,735,JFK,BQN,4,355,215,1
861,DL,2356,RDU,DTW,4,355,125,0
862,DL,377,BDL,DTW,4,355,130,0
863,HA,202,HNL,ITO,4,355,49,0
864,MQ,2864,SGF,DFW,4,355,90,0
865,OH,6414,AZO,DTW,4,355,58,0
866,OO,7014,RDM,SFO,4,355,101,0
867,9E,3668,TYS,LGA,4,360,131,0
868,9E,3724,ABE,DTW,4,360,115,1
869,9E,3755,SWF,DTW,4,360,120,1
870,9E,3757,BGM,DTW,4,360,103,1
871,9E,3795,SBN,CVG,4,360,60,1
872,9E,3845,AVP,DTW,4,360,105,1
873,9E,3850,FNT,DTW,4,360,48,1
874,9E,3871,BHM,DTW,4,360,125,1
875,9E,3875,GSP,DTW,4,360,115,1
876,9E,3893,FWA,ATL,4,360,115,1
877,9E,3923,IAH,MEM,4,360,95,1
878,DL,2344,LAS,CVG,5,10,215,1
879,CO,269,SFO,IAH,5,15,205,1
880,US,1558,PHX,CLT,5,15,222,1
881,AA,2400,LAX,DFW,5,20,165,1
882,AA,2466,SFO,DFW,5,20,195,1
883,AS,108,ANC,SEA,5,30,202,1
884,CO,1094,LAX,IAH,5,30,181,1
885,DL,1768,LAX,MSP,5,30,220,1
886,DL,2722,PHX,DTW,5,30,228,1
887,DL,2304,LAX,ATL,5,35,256,1
888,DL,2606,SFO,MSP,5,35,216,1
889,AA,2538,LAS,ORD,5,40,200,1
890,DL,1006,LAX,MSY,5,48,220,1
891,CO,223,ANC,SEA,5,49,201,1
892,AA,532,LAS,DFW,5,50,145,1
893,DL,1646,PHX,ATL,5,50,212,1
894,DL,2055,SLC,ATL,5,50,210,1
895,DL,2814,SEA,MSP,5,50,189,1
896,AA,2408,LAX,DFW,5,55,170,1
897,AS,132,ANC,PDX,5,55,215,1
898,US,498,DEN,CLT,5,55,179,1
899,B6,98,DEN,JFK,5,59,213,1
900,CO,1496,LAS,IAH,5,60,162,1
901,DL,1450,LAS,MSP,5,60,186,1
902,CO,507,ONT,IAH,5,75,167,1
903,AS,128,FAI,SEA,5,80,206,1
904,DL,2223,ANC,SLC,5,85,270,1
905,AS,112,ANC,SEA,5,90,200,1
906,DL,1820,LAX,MEM,5,100,216,1
907,HA,17,LAS,HNL,5,100,380,1
908,US,122,ANC,PHX,5,113,327,1
909,AS,114,ANC,SEA,5,150,200,1
910,CO,315,BQN,EWR,5,165,246,1
911,B6,766,BQN,MCO,5,240,169,1
912,B6,750,SJU,MCO,5,259,182,1
913,B6,768,PSE,MCO,5,262,180,1
914,HA,206,HNL,OGG,5,300,36,1
915,OO,4746,BIS,MSP,5,300,85,1
916,OO,6466,IYK,LAX,5,300,53,1
917,US,1011,EWR,CLT,5,300,111,1
918,US,1983,BOS,CLT,5,300,135,1
919,HA,108,HNL,KOA,5,302,41,1
920,OO,7036,MKE,ORD,5,302,44,1
921,9E,3975,GFK,MSP,5,305,68,1
922,HA,102,HNL,ITO,5,305,49,1
923,OH,6338,GSO,ATL,5,315,93,1
924,OO,6505,LMT,SFO,5,315,95,1
925,US,149,SEA,PHX,5,315,166,1
926,US,1640,MCO,CLT,5,315,97,1
927,US,908,TPA,CLT,5,315,96,1
928,HA,106,HNL,OGG,5,317,36,1
929,9E,3854,DLH,MSP,5,320,58,1
930,DL,1276,MSP,ATL,5,320,158,1
931,OO,4651,FAR,MSP,5,320,62,1
932,CO,1585,MFE,IAH,5,325,64,1
933,CO,222,MSY,IAH,5,325,70,1
934,EV,4966,VPS,ATL,5,325,69,1
935,OO,4793,PSC,SLC,5,325,90,1
936,US,1521,BWI,CLT,5,325,83,1
937,XE,2827,MAF,IAH,5,325,85,1
938,OO,4719,LWS,SLC,5,328,87,1
939,9E,3702,RST,MSP,5,330,50,1
940,9E,3775,ALB,DTW,5,330,120,1
941,9E,3886,DSM,ATL,5,330,135,1
942,9E,4382,ECP,ATL,5,330,67,1
943,AA,1711,BOS,MIA,5,330,210,1
944,CO,611,EWR,IAH,5,330,233,1
945,DL,1143,CHS,ATL,5,330,72,1
946,DL,1511,MSN,DTW,5,330,80,1
947,DL,1518,MCO,ATL,5,330,84,1
948,DL,1698,JAX,ATL,5,330,80,1
949,DL,1842,SAT,ATL,5,330,142,1
950,DL,1972,TPA,ATL,5,330,85,1
951,DL,2054,PNS,ATL,5,330,75,1
952,DL,2112,BHM,ATL,5,330,58,1
953,DL,2306,LIT,ATL,5,330,97,1
954,DL,2711,SAV,ATL,5,330,65,1
955,DL,2995,BNA,ATL,5,330,67,1
956,EV,4940,OMA,ATL,5,330,147,1
957,EV,5014,ICT,ATL,5,330,132,1
958,EV,5062,HSV,ATL,5,330,53,1
959,EV,5117,DHN,ATL,5,330,70,1
960,EV,5393,MGM,ATL,5,330,57,1
961,EV,5532,CAE,ATL,5,330,64,1
962,EV,7108,PWM,IAD,5,330,114,1
963,OO,6917,ACV,SMF,5,330,65,1
964,OO,7781,EKO,SLC,5,330,70,1
965,US,1289,BOS,PHL,5,330,84,1
966,US,1420,PHL,CLT,5,330,102,1
967,US,1732,ATL,CLT,5,330,68,1
968,US,347,PDX,PHX,5,330,148,1
969,US,913,RIC,CLT,5,330,72,1
970,XE,2263,BTR,IAH,5,330,72,1
971,XE,3024,HRL,IAH,5,330,70,1
972,YV,2605,MYR,CLT,5,330,62,1
973,HA,103,HNL,LIH,5,331,35,1
974,UA,576,SEA,DEN,5,331,159,1
975,OO,6644,TUS,DEN,5,333,112,1
976,YV,7294,SBN,ORD,5,334,46,1
977,9E,3725,TVC,DTW,5,335,75,1
978,9E,3804,CLE,ATL,5,335,128,1
979,AA,674,ORD,MIA,5,335,185,1
980,B6,728,BQN,JFK,5,335,231,1
981,CO,463,ORD,IAH,5,335,164,1
982,EV,5038,CAK,DTW,5,335,76,1
983,OH,6423,DAY,DTW,5,335,75,1
984,OO,6698,MFR,PDX,5,335,74,1
985,XE,2865,MKE,IAH,5,335,174,1
986,EV,7123,BTV,IAD,5,336,110,1
987,9E,3998,TLH,ATL,5,338,68,1
988,9E,4196,TYS,ATL,5,340,57,1
989,CO,214,DFW,IAH,5,340,59,1
990,DL,2123,BOS,DTW,5,340,144,1
991,DL,2597,RIC,ATL,5,340,109,1
992,DL,2626,FLL,ATL,5,340,118,1
993,DL,684,AUS,ATL,5,340,134,1
994,EV,5583,CHA,ATL,5,340,47,1
995,MQ,4563,CMH,LGA,5,340,100,1
996,XE,2616,LRD,IAH,5,340,66,1
997,XE,3006,BRO,IAH,5,340,70,1
998,XE,3015,CRP,IAH,5,340,59,1
999,XE,5973,LAN,ORD,5,340,71,1
1000,9E,3659,ALB,ATL,5,345,183,1
1001,9E,3862,SAT,MEM,5,345,119,1
1002,9E,3949,PVD,DTW,5,345,135,1
1003,9E,4143,FWA,DTW,5,345,59,1
1004,AA,1141,JFK,MIA,5,345,190,1
1005,AA,1297,DFW,MIA,5,345,160,1
1006,AA,2320,DFW,ORD,5,345,140,1
1007,CO,1677,PHL,IAH,5,345,219,1
1008,CO,1727,BWI,IAH,5,345,208,1
1009,CO,240,AUS,IAH,5,345,55,1
1010,CO,278,SAT,IAH,5,345,54,1
1011,CO,633,LGA,IAH,5,345,235,1
1012,DL,1095,OKC,ATL,5,345,127,1
1013,DL,1112,PIT,ATL,5,345,129,1
1014,DL,1506,LAX,DTW,5,345,270,1
1015,DL,2320,PBI,ATL,5,345,115,1
1016,DL,2481,ORF,ATL,5,345,120,1
1017,DL,2710,DFW,ATL,5,345,132,1
1018,DL,2939,DCA,ATL,5,345,120,1
1019,EV,5142,AEX,ATL,5,345,119,1
1020,EV,5218,SYR,ATL,5,345,158,1
1021,EV,5233,BTR,ATL,5,345,97,1
1022,EV,5362,SHV,ATL,5,345,123,1
1023,EV,5501,VLD,ATL,5,345,62,1
1024,OH,6264,BDL,CVG,5,345,133,1
1025,OH,6549,MFE,MEM,5,345,118,1
1026,OO,6407,FAT,SFO,5,345,45,1
1027,OO,6523,PHX,LAX,5,345,85,1
1028,OO,6647,BZN,DEN,5,345,107,1
1029,OO,6964,RDM,PDX,5,345,58,1
1030,US,1423,DCA,CLT,5,345,85,1
1031,XE,2919,LFT,IAH,5,345,58,1
1032,XE,5951,CAK,ORD,5,345,95,1
1033,OO,6480,IPL,YUM,5,346,34,1
1034,OO,6843,EAU,CWA,5,346,32,1
1035,UA,756,SFO,DEN,5,348,158,1
1036,OO,3099,OMA,MKE,5,349,81,1
1037,9E,3718,ERI,DTW,5,350,65,1
1038,B6,107,BUF,JFK,5,350,83,1
1039,DL,1248,IAH,ATL,5,350,130,1
1040,DL,1985,DAY,ATL,5,350,114,1
1041,DL,2387,MKE,ATL,5,350,129,1
1042,DL,734,MCI,ATL,5,350,129,1
1043,EV,5165,AGS,ATL,5,350,60,1
1044,FL,331,PHL,ATL,5,350,145,1
1045,MQ,2734,ABI,DFW,5,350,50,1
1046,MQ,2796,GRR,DFW,5,350,175,1
1047,MQ,3014,FAT,LAX,5,350,65,1
1048,MQ,3332,LBB,DFW,5,350,70,1
1049,MQ,3632,CLT,MIA,5,350,120,1
1050,XE,3033,IAH,LCH,6,1295,40,1
1051,EV,5495,ATL,BMI,6,1296,108,1
1052,OO,7798,SLC,COD,6,1297,92,1
1053,9E,3781,DTW,GRB,6,1300,90,1
1054,AA,1069,DFW,DEN,6,1300,120,1
1055,DL,1007,ATL,CAE,6,1300,64,1
1056,DL,1054,ATL,SAV,6,1300,65,1
1057,DL,1129,ATL,ORF,6,1300,98,1
1058,DL,1154,ATL,JFK,6,1300,138,1
1059,DL,1641,MSP,DTW,6,1300,105,1
1060,DL,1915,ATL,PHX,6,1300,259,1
1061,DL,2451,ATL,SDF,6,1300,86,1
1062,DL,2522,MSP,SMF,6,1300,239,1
1063,DL,2986,ATL,LGA,6,1300,135,1
1064,DL,370,ATL,LAX,6,1300,308,1
1065,HA,516,HNL,OGG,6,1300,37,1
1066,OO,4617,SLC,BZN,6,1300,93,1
1067,OO,4765,SLC,GEG,6,1300,102,1
1068,OO,4883,SLC,BIL,6,1300,84,1
1069,OO,6524,PDX,RDM,6,1300,38,1
1070,UA,54,KOA,SFO,6,1300,316,1
1071,EV,5453,ATL,OKC,6,1301,141,1
1072,DL,1176,ATL,ROC,6,1302,129,1
1073,DL,1840,LIH,LAX,6,1303,317,1
1074,9E,3802,DTW,AVP,6,1305,89,1
1075,9E,3831,MSP,GFK,6,1305,75,1
1076,AA,2493,DFW,LAX,6,1305,205,1
1077,AA,410,MIA,BNA,6,1305,135,1
1078,AA,785,DFW,MSY,6,1305,75,1
1079,B6,383,LGA,FLL,6,1305,170,1
1080,B6,712,SJU,JFK,6,1305,236,1
1081,DL,1020,ATL,MDW,6,1305,120,1
1082,DL,1290,ATL,DTW,6,1305,131,1
1083,DL,1649,ATL,SFO,6,1305,328,1
1084,DL,1711,ATL,DFW,6,1305,152,1
1085,DL,1995,SLC,SAN,6,1305,117,1
1086,DL,300,ATL,MSP,6,1305,175,1
1087,EV,5094,ATL,ECP,6,1305,66,1
1088,MQ,3727,ORD,LIT,6,1305,110,1
1089,OO,4484,LAX,SAN,6,1305,52,1
1090,OO,4620,SLC,SNA,6,1305,117,1
1091,OO,4726,SLC,MFR,6,1305,117,1
1092,OO,4748,SLC,BTM,6,1305,95,1
1093,OO,7775,SLC,SGU,6,1305,80,1
1094,OO,7796,SLC,SUN,6,1305,70,1
1095,XE,2770,EWR,BTV,6,1305,71,1
1096,DL,1155,ATL,JAX,6,1306,71,1
1097,HA,323,HNL,LIH,6,1306,36,1
1098,OO,6453,LAX,PHX,6,1306,72,1
1099,B6,82,SEA,JFK,6,1307,301,1
1100,DL,2059,ATL,SAT,6,1308,166,1
1101,EV,7104,IAD,CAE,6,1309,81,1
1102,XE,5897,IAD,CLE,6,1309,74,1
1103,9E,3967,JFK,ALB,6,1310,95,1
1104,B6,1087,JFK,CLT,6,1310,118,1
1105,B6,1109,JFK,RDU,6,1310,103,1
1106,CO,72,HNL,IAH,6,1310,460,1
1107,DL,1096,ATL,STL,6,1310,110,1
1108,DL,1266,ATL,MEM,6,1310,95,1
1109,DL,1774,ATL,MKE,6,1310,127,1
1110,DL,1935,ATL,MSY,6,1310,106,1
1111,DL,2179,SLC,SMF,6,1310,108,1
1112,DL,2221,MSP,LAX,6,1310,238,1
1113,DL,2273,ATL,MIA,6,1310,119,1
1114,DL,2329,ATL,SEA,6,1310,332,1
1115,EV,5110,ATL,EVV,6,1310,85,1
1116,EV,5355,DTW,ROA,6,1310,96,1
1117,EV,5356,ATL,CHA,6,1310,49,1
1118,EV,5394,ATL,MLI,6,1310,122,1
1119,FL,949,BWI,ROC,6,1310,75,1
1120,OO,4452,SLC,LWS,6,1310,100,1
1121,OO,4566,SLC,RDM,6,1310,106,1
1122,OO,4628,SLC,PSC,6,1310,100,1
1123,OO,4770,SLC,CPR,6,1310,72,1
1124,OO,4806,MSP,BIS,6,1310,81,1
1125,YV,7261,IAD,CLT,6,1310,77,1
1126,EV,7096,IAD,LGA,6,1311,69,1
1127,B6,986,FLL,JFK,6,1312,157,1
1128,DL,1298,KOA,LAX,6,1312,308,1
1129,DL,1563,ATL,AUS,6,1312,164,1
1130,DL,2017,ATL,DEN,6,1312,213,1
1131,EV,5012,ATL,ICT,6,1312,140,1
1132,B6,427,BOS,PBI,6,1314,185,1
1133,UA,260,IAD,MCO,6,1314,140,1
1134,9E,3767,MSP,TUL,6,1315,120,1
1135,9E,3954,ATL,GSP,6,1315,60,1
1136,AA,324,DFW,BNA,6,1315,95,1
1137,CO,1508,EWR,BOS,6,1315,59,1
1138,CO,685,PDX,EWR,6,1315,303,1
1139,DL,1038,ATL,IND,6,1315,100,1
1140,DL,1599,ATL,PIT,6,1315,109,1
1141,DL,1603,ATL,LAS,6,1315,286,1
1142,DL,1752,ATL,IAD,6,1315,108,1
1143,DL,1789,ATL,MCI,6,1315,149,1
1144,DL,2098,ATL,CMH,6,1315,100,1
1145,DL,2309,ATL,DAY,6,1315,102,1
1146,EV,4968,ATL,FAY,6,1315,75,1
1147,EV,5222,ATL,BTR,6,1315,104,1
1148,OH,6484,ATL,GSO,6,1315,86,1
1149,OO,6459,SFO,GEG,6,1315,121,1
1150,OO,7762,SLC,EKO,6,1315,72,1
1151,DL,1229,ATL,PBI,6,1316,112,1
1152,UA,384,IAD,DEN,6,1316,247,1
1153,UA,925,IAD,LAX,6,1316,355,1
1154,XE,5977,IAD,TYS,6,1316,90,1
1155,DL,322,LAS,JFK,6,1319,292,1
1156,UA,225,IAD,SFO,6,1319,361,1
1157,AA,286,LIH,LAX,6,1320,330,1
1158,AA,657,DFW,ABQ,6,1320,110,1
1159,AS,731,SEA,ANC,6,1320,210,1
1160,B6,713,JFK,SJU,6,1320,224,1
1161,B6,79,JFK,MCO,6,1320,165,1
